BeamType;X_Pos;SuppL_Pos;SuppR_Pos;Calc_factor;Calc_const;Finger_pressed;Press_Distance;Press_force;Deviation_Finger_1(Right);Deviation_Finger_2;Deviation_Finger_3;Deviation_Finger_4;Deviation_Finger_5;Deviation_Finger_6;Deviation_Finger_7;Deviation_Finger_8;Note
CF500 SL2 (21/112) 130058;1257.764;200.0069;197.9997;0.9;5.2;4;288.1409;295.1408;0.001;-0.4604144;-1.176917;-1.514713;-0.9569163;-0.4326663;0.001;0.001;
CF500 SL2 (21/112) 130058;1257.764;200.0069;197.9997;0.9;5.2;4;288.1409;295.1408;0.001;-0.4604144;-1.176917;-1.514713;-0.9569163;-0.4326663;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1257.764;200.0069;197.9997;0.9;5.2;4;288.1409;295.1408;0.001;0.9434896;1.983922;2.452973;2.028805;0.9811559;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1257.388;200.0069;197.9999;0.9;5.2;4;288.1306;297.9983;0.001;-0.4691157;-0.9682764;-1.322395;-0.9219698;-0.4958338;0.001;0.001;
CF500 SL2 (21/112) 130058;1257.388;200.0069;197.9999;0.9;5.2;4;288.1306;297.9983;0.001;-0.4691157;-0.9682764;-1.322395;-0.9219698;-0.4958338;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1257.388;200.0069;197.9999;0.9;5.2;4;288.1306;297.9983;0.001;0.9758459;1.957528;2.27485;1.976777;0.8402181;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1256.983;200.0066;197.9999;0.9;5.2;4;288.2026;293.1578;0.001;-0.3482584;-0.7213511;-1.215095;-0.7640986;-0.5013384;0.001;0.001;
CF500 SL2 (21/112) 130058;1256.983;200.0066;197.9999;0.9;5.2;4;288.2026;293.1578;0.001;-0.3482584;-0.7213511;-1.215095;-0.7640986;-0.5013384;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1256.983;200.0066;197.9999;0.9;5.2;4;288.2026;293.1578;0.001;1.221375;2.321637;2.864438;2.411236;1.00237;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1257.706;200.0065;197.9999;0.9;5.2;4;288.4122;309.2714;0.001;-0.2272372;-0.6530566;-0.9851794;-0.5632968;-0.462543;0.001;0.001;
CF500 SL2 (21/112) 130058;1156.286;174.5159;197.9999;0.7;2.7;5;283.952;94.25298;0.001;-0.2955698;-0.7741809;-1.168128;-0.8036532;-0.5936808;0.001;0.001;
CF500 SL2 (21/112) 130058;1187.327;199.967;121.50878;0.7;2.7;3;283.5617;73.23207;0.001;-0.3394236;-0.8159594;-1.189277;-0.8162646;-0.611175;0.001;0.001;
CF500 SL2 (21/112) 130058;1187.327;199.967;121.50878;0.7;2.7;3;283.5617;73.23207;0.001;-0.3394236;-0.8159594;-1.189277;-0.8162646;-0.611175;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1187.327;199.967;121.50878;0.7;2.7;3;283.5617;73.23207;0.001;1.290421;2.502041;3.20675;2.605336;1.331086;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1339.227;199.9674;197.9806;0.9;5.2;4;288.1457;311.3339;0.001;-0.5496363;-1.235263;-1.446681;-0.9319414;-0.4720225;0.001;0.001;
CF500 SL2 (21/112) 130058;1339.227;199.9674;197.9806;0.9;5.2;4;288.1457;311.3339;0.001;-0.5496363;-1.235263;-1.446681;-0.9319414;-0.4720225;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1339.227;199.9674;197.9806;0.9;5.2;4;288.1457;311.3339;0.001;1.183335;2.070584;2.431874;2.08479;0.902165;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1264.937;199.9674;197.9994;0.9;5.2;4;287.8952;293.7854;0.001;-0.3558268;-1.072513;-1.581577;-1.021861;-0.6266131;0.001;0.001;
CF500 SL2 (21/112) 130058;1264.937;199.9674;197.9994;0.9;5.2;4;287.8952;293.7854;0.001;-0.3558268;-1.072513;-1.581577;-1.021861;-0.6266131;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1264.937;199.9674;197.9994;0.9;5.2;4;287.8952;293.7854;0.001;0.7526708;1.765889;2.11723;1.83965;0.7339483;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1268.724;199.968;197.9992;0.9;5.2;4;287.7178;282.4218;0.001;-0.5305705;-0.80582;-1.239715;-0.7464099;-0.5645404;0.001;0.001;
CF500 SL2 (21/112) 130058;1268.724;199.968;197.9992;0.9;5.2;4;287.7178;282.4218;0.001;-0.5305705;-0.80582;-1.239715;-0.7464099;-0.5645404;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1268.724;199.968;197.9992;0.9;5.2;4;287.7178;282.4218;0.001;1.106457;2.040505;2.272545;1.899998;0.7972914;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1265.381;199.968;197.9992;0.9;5.2;4;287.6842;288.179;0.001;-0.1431155;-0.4894976;-0.9993853;-0.5975756;-0.4477992;0.001;0.001;
CF500 SL2 (21/112) 130058;1528.728;199.9679;121.51457;0.7;2.7;3;284.1314;87.5591;0.001;-0.2319483;-0.6554026;-1.127395;-0.6846804;-0.4944262;0.001;0.001;
CF500 SL2 (21/112) 130058;1596.867;199.9677;121.52852;0.7;2.7;3;0.0;0.0;0.001;1.27121;2.250321;2.532746;2.20723;0.9044347;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1257.979;199.9677;197.9926;0.9;5.2;4;288.2568;297.6137;0.001;-0.2577242;-0.8464579;-1.415645;-0.9201197;-0.6793513;0.001;0.001;
CF500 SL2 (21/112) 130058;1521.724;199.968;121.51321;0.7;2.7;3;283.958;83.36988;0.001;-0.41262;-1.042926;-1.555469;-1.033653;-0.7341075;0.001;0.001;
CF500 SL2 (21/112) 130058;1521.724;199.968;121.51321;0.7;2.7;3;283.958;83.36988;0.001;-0.41262;-1.042926;-1.555469;-1.033653;-0.7341075;0.001;0.001;within limits
CF500 SL2 (21/112) 130056;1521.724;199.968;121.51321;0.7;2.7;3;283.958;83.36988;0.001;1.305054;2.210461;2.399388;2.023205;0.8555761;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1336.882;199.9677;197.9926;0.9;5.2;4;288.0522;293.7151;0.001;-0.1317362;-0.749763;-1.470504;-1.013278;-0.6454692;0.001;0.001;
